Year,First TS,30-y first,Last TS,30-y last
1872,Apr 29,-,Oct 27,-
1873,-,-,-,-
1874,May 8,-,Sep 25,-
1875,-,-,Sep 10,-
1876,Jan 16,-,-,-
1877,Apr 22,-,Sep 15,-
1878,Apr 29,-,Sep 29,-
1879,Apr 12,-,Oct 16,-
1880,May 6,-,Sep 27,-
1881,May 20,-,Sep 26,-
1882,-,-,Oct 5,-
1883,May 17,-,Oct 28,-
1884,May 4,-,Sep 13,-
1885,Apr 9,-,Oct 10,-
1886,Apr 14,-,Sep 19,-
1887,Apr 29,-,Sep 19,-
1888,Apr 25,-,Sep 23,-
1889,May 6,-,Sep 10,-
1890,Apr 19,-,Aug 31,-
1891,May 18,-,Sep 22,-
1892,Jun 8,-,Oct 16,-
1893,May 11,-,Sep 20,-
1894,Apr 24,-,Sep 14,-
1895,Apr 12,-,Sep 17,-
1896,Apr 11,-,Aug 21,-
1897,Mar 29,-,Sep 14,-
1898,May 8,-,Oct 2,-
1899,Apr 24,-,Sep 3,-
1900,-,-,Sep 22,-
1901,Apr 24,-,Sep 24,-
1902,May 18,Apr 24,Aug 31,Sep 23
1903,May 17,Apr 25,Oct 6,Sep 21
1904,May 21,Apr 26,Oct 16,Sep 21
1905,May 15,Apr 26,Sep 17,Sep 22
1906,Apr 17,Apr 27,Sep 25,Sep 22
1907,Mar 21,Apr 30,Aug 22,Sep 22
1908,May 17,Apr 29,Oct 5,Sep 22
1909,May 14,Apr 30,Oct 7,Sep 22
1910,Apr 3,May 1,Sep 17,Sep 22
1911,May 11,Apr 30,Aug 30,Sep 21
1912,Apr 25,Apr 29,Sep 7,Sep 20
1913,Apr 29,Apr 29,Oct 10,Sep 19
1914,Feb 28,Apr 29,Sep 21,Sep 19
1915,Apr 14,Apr 26,Sep 17,Sep 19
1916,May 7,Apr 26,Oct 3,Sep 18
1917,May 16,Apr 27,Sep 24,Sep 19
1918,May 24,Apr 28,Nov 5,Sep 19
1919,Mar 14,Apr 29,Sep 13,Sep 20
