Rank,Latest TS,,Earliest TS,
1,Dec 5,1966,Jan 10,1990
2,Dec 2,1982,Jan 16,1876 O
3,Nov 8,2007,Feb 28,1914 WFP
4,Nov 7,1975,Mar 14,1919 O
5,Nov 5,1918 O,Mar 19,2012
6,Nov 1,2000,Mar 21,1907 O
7,Oct 30,1981,Mar 24,1945 MR
8,Oct 28,1883 O,Mar 27,2004
9,Oct 28,1940 O,Mar 27,2012
10,Oct 27,1872 O,Mar 28,1960
11,Oct 27,1931 O,Mar 29,1897 O
12,Oct 27,1964,Mar 29,1999
13,Oct 26,1989,Mar 31,1978
14,Oct 24,2022,Apr 1,1928 O
15,Oct 23,1985,Apr 2,2010
16,Oct 22,2011,Apr 3,1910 O
17,Oct 21,2017,Apr 3,1927 O
18,Oct 18,1932 O,Apr 3,1965
19,Oct 18,1971,Apr 4,2010
20,Oct 18,1994,Apr 5,1921 O
21,Oct 16,1879 O,Apr 5,2000
22,Oct 16,1892 MW,Apr 6,1921 O
23,Oct 16,1904 O,Apr 6,1980
24,Oct 16,1953,Apr 7,1934 O
25,Oct 16,2025,Apr 9,1885 O
