Rank,Latest First,,Earliest First,
1,Jun 10,2013,Jan 10,1990
2,Jun 9,1958,Jan 16,1876 O
3,Jun 8,1892 MW,Feb 28,1914 WFP
4,Jun 8,1943 MR,Mar 14,1919 O
5,Jun 7,2015,Mar 19,2012
6,Jun 3,1992,Mar 21,1907 O
7,Jun 3,1995,Mar 24,1945 MR
8,Jun 2,1935 O,Mar 27,2004
9,May 30,2011,Mar 28,1960
10,May 29,1950 MR,Mar 29,1897 O
11,May 28,1923 O,Mar 29,1999
12,May 25,1929 O,Mar 31,1978
13,May 24,1918 O,Apr 1,1928 O
14,May 23,1932 O,Apr 2,2010
15,May 23,1937 O,Apr 3,1910 O
16,May 22,2016,Apr 3,1927 O
17,May 21,1904 O,Apr 3,1965
18,May 20,1881 O,Apr 5,1921 O
19,May 20,1954 MR,Apr 5,2000
20,May 19,2014,Apr 6,1980
21,May 18,1891 MW,Apr 7,1934 O
22,May 18,1902 O,Apr 9,1885 O
23,May 17,1883 WFP,Apr 10,1925 O
24,May 17,1903 O,Apr 10,1998
25,May 17,1908 O,Apr 11,1896 O
26,May 17,1931 O,Apr 11,1955
27,May 17,1933 O,Apr 11,1967
28,May 17,1962,Apr 11,2006
29,May 17,2007,Apr 12,1879 O
30,May 16,1917 O,Apr 12,1895 MW
31,May 16,1971,-,-
32,May 16,1972,-,-
