Rank,Latest Last,,Earliest Last,
1,Dec 5,1966,Aug 18,1950 MR
2,Dec 2,1982,Aug 21,1896 O
3,Nov 8,2007,Aug 22,1907 O
4,Nov 7,1975,Aug 22,1948 MR
5,Nov 5,1918 O,Aug 24,1925 O
6,Nov 1,2000,Aug 24,2001
7,Oct 30,1981,Aug 24,2012
8,Oct 28,1883 O,Aug 25,1951 MR
9,Oct 28,1940 O,Aug 26,2006
10,Oct 27,1872 O,Aug 30,1911 O
11,Oct 27,1931 O,Aug 31,1890 MW
12,Oct 27,1964,Aug 31,1902 O
13,Oct 26,1989,Aug 31,1943 MR
14,Oct 24,2022,Sep 3,1899 O
15,Oct 23,1985,Sep 4,1978
16,Oct 22,2011,Sep 6,1990
17,Oct 21,2017,Sep 7,1912 O
18,Oct 18,1932 O,Sep 7,1976
19,Oct 18,1971,Sep 8,1965
20,Oct 18,1994,Sep 8,1980
21,Oct 16,1879 O,Sep 8,1993
22,Oct 16,1892 MW,Sep 8,2014
23,Oct 16,1904 O,Sep 9,1959
24,Oct 16,1953,Sep 9,1979
25,Oct 16,2025,Sep 10,1875 O
26,Oct 14,1935 O,Sep 10,1889 MW
27,Oct 14,1998,Sep 10,2010
28,Oct 13,1995,Sep 10,2021
29,Oct 12,1960,Sep 13,1884 O
30,Oct 12,1973,Sep 13,1919 O
31,Oct 12,1997,Sep 13,1934
32,-,-,Sep 13,1952
33,-,-,Sep 13,1967
34,-,-,Sep 13,2018
