Rank,Longest Streaks Without TS,
1,289,2012-2013 (Aug 25-Jun 9)
2,271,2014-2015 (Sep 9-Jun 6)
3,268,1907-1908 (Aug 23-May 16) O
4,267,1957-1958 (Sep 15-Jun 8)
5,263,2006-2007 (Aug 27-May 16)
6,262,1948-1949 (Aug 23-May 11) O
7,261,1934-1935 (Sep 14-Jun 1) O
8,261,2010-2011 (Sep 11-May 29)
9,259,1890-1891 (Sep 1-May 17) MW
10,259,1891-1892 (Sep 23-Jun 7) MW
11,258,1902-1903 (Sep 1-May 16) O
12,255,1943-1944 (Sep 1-May 12) O
13,255,1951-1952 (Aug 26-May 6) O
14,254,1949-1950 (Sep 17-May 28) O
15,251,1950-1951 (Aug 19-Apr 26) O
16,250,1936-1937 (Sep 15-May 22) O
17,249,1925-1926 (Aug 25-Apr 30) O
18,247,1928-1929 (Sep 20-May 24) O
19,246,1942-1943 (Oct 5-Jun 7) O
20,245,1990-1991 (Sep 7-May 9)
21,243,1930-1931 (Sep 16-May 16) O
22,243,1967-1968 (Sep 14-May 13)
23,243,1991-1992 (Oct 4-Jun 2)
24,241,1917-1918 (Sep 25-May 23) O
25,239,1961-1962 (Sep 20-May 16)
26,238,1911-1912 (Aug 31-Apr 24) O
27,237,1952-1953 (Sep 14-May 8) O
28,236,1970-1971 (Sep 22-May 15)
29,236,1974-1975 (Sep 19-May 12)
30,235,2024-2025 (Sep 22-May 14)
